Ticker,Current Price,52-Week High,% Below High,P/E Ratio,RSI
NOC,581.62,582.16,0.09,21.461992,83.89
EVRG,71.5,71.63,0.18,18.81579,67.99
MO,62.5,62.645,0.23,12.088975,75.16
WEC,110.665,111.07,0.36,21.240883,67.58
CBOE,248.675,249.634,0.38,32.634514,67.1
XEL,73.82,74.13,0.42,20.448753,71.67
NI,42.665,42.9,0.55,23.062162,75.94
CNP,39.075,39.31,0.6,27.325176,71.69
ALLE,165.32,166.37,0.63,22.961113,74.29
RMD,278.82,280.855,0.72,29.287815,78.24
DTE,139.26,140.39,0.8,20.03741,64.54
AEP,113.44,114.38,0.82,16.63343,76.15
GNRC,195.2,197.18,1.0,32.425247,84.48
SO,95.355,96.44,1.13,24.639536,66.05
WELL,166.915,168.84,1.14,93.77247,70.88
AEE,102.82,104.1,1.23,22.597801,73.56
NRG,167.05,169.24,1.29,26.55803,71.96
LHX,276.095,280.03,1.41,30.814175,73.94
ETR,90.16,91.46,1.42,22.372208,81.52
EBAY,91.465,92.79,1.43,20.325554,76.74
RTX,156.48,158.79,1.45,34.391205,67.0
LNT,65.5227,66.54,1.53,22.594032,68.23
DUK,123.24,125.27,1.62,20.437809,68.02
ICE,184.14,187.38,1.73,35.34357,57.56
DLTR,113.915,115.99,1.79,22.512846,68.07
ORLY,98.75,100.6,1.84,35.394264,71.21
ROL,57.57,58.65,1.84,57.0,62.87
CHRW,113.98,116.16,1.88,25.845806,72.79
VST,208.9053,213.048,1.94,33.054634,60.82
DASH,247.95,252.87,1.95,309.9375,56.18
AZO,3842.48,3919.5,1.97,26.011913,55.64
JNJ,166.57,169.99,2.01,17.834047,66.22
GE,269.4,274.94,2.01,38.37607,59.23
NDAQ,95.06,97.07,2.07,36.56154,69.97
STX,154.18,157.45,2.08,22.774002,56.95
SPGI,546.015,558.86,2.3,41.968872,61.54
XYL,141.38,144.83,2.38,36.72208,68.72
PLTR,156.8252,160.89,2.53,653.43835,64.13
D,60.4,61.97,2.53,23.320465,69.85
PARA,13.245,13.59,2.54,,55.36
GLW,62.24,63.91,2.61,66.21277,83.04
TDG,1581.18,1623.83,2.63,53.418243,52.23
CAT,429.37,441.15,2.67,20.944878,69.3
CMS,74.33,76.45,2.77,21.926254,71.24
GEV,658.3904,677.29,2.79,158.26692,76.13
CSGP,94.43,97.15,2.8,363.19232,76.78
BSX,105.88,108.94,2.81,63.02381,55.3
PPL,35.94,36.99,2.84,27.022554,61.9
BK,100.159,103.16,2.91,15.314832,74.76
ULTA,508.24,523.68,2.95,19.899763,70.4
SYY,79.76,82.23,3.0,21.383379,58.97
CME,281.745,290.79,3.11,27.300873,58.8
L,90.33,93.23,3.11,14.808197,43.68
BLK,1094.39,1130.66,3.21,26.460106,45.89
VICI,33.1699,34.29,3.27,12.708774,44.64
CTAS,221.55,229.24,3.35,50.2381,58.89
WDC,76.14,78.8,3.38,17.110113,72.28
CEG,341.375,354.01,3.57,35.93421,60.19
PTC,211.815,219.69,3.58,49.838825,79.04
JPM,290.35,301.29,3.63,14.897384,52.74
CSCO,67.195,69.78,3.7,27.42653,44.69
SCHW,95.885,99.59,3.72,25.775537,61.68
APH,104.69,108.85,3.82,41.709164,62.15
GS,709.64,737.88,3.83,15.641173,48.07
FE,43.205,44.97,3.92,19.033041,77.87
K,79.875,83.22,4.02,20.909687,54.3
GD,309.42,322.5,4.06,20.78039,55.92
KR,71.04,74.11,4.14,19.356949,42.65
RL,293.555,306.34,4.17,25.262909,56.23
META,751.63,784.75,4.22,27.302216,58.59
CBRE,154.2,161.03,4.24,43.193275,71.3
NSC,275.605,288.11,4.34,18.59683,63.17
TPR,105.61,110.44,4.37,27.792107,60.62
GL,137.675,144.0,4.39,11.014,71.44
EW,79.28,83.0,4.48,33.171547,53.38
HWM,184.56,193.26,4.5,53.96491,50.28
INTU,776.56,813.7,4.56,63.392654,61.39
T,27.855,29.19,4.57,15.917143,63.5
NTRS,126.89,133.0,4.59,14.893191,50.63
NVDA,174.87,183.3,4.6,56.59223,65.64
WYNN,107.14,112.36,4.65,28.647058,36.31
MS,138.705,145.48,4.66,15.708381,37.51
ETN,380.89,399.56,4.67,38.357502,66.99
BR,245.6,257.65,4.68,36.876877,63.73
STT,108.84,114.28,4.76,12.229214,47.66
ECL,261.1,274.17,4.77,34.859814,39.62
PH,709.82,745.35,4.77,27.321787,48.7
ROK,343.545,360.92,4.81,43.21321,50.42
WMB,60.4,63.45,4.81,32.473118,56.84
HAS,74.92,78.83,4.96,,45.4
DE,507.14,533.78,4.99,24.487688,49.74
TDY,542.04,570.56,5.0,29.897408,53.61
CDNS,357.57,376.45,5.02,97.165764,72.74
ES,65.52,69.01,5.06,28.611353,51.04
CSX,35.22,37.1,5.07,21.607363,62.25
SNPS,618.66,651.73,5.07,71.274185,69.64
TEL,201.895,212.76,5.11,41.54218,80.55
JCI,106.815,112.63,5.16,39.56111,51.41
URI,856.645,903.61,5.2,22.20438,60.11
VTR,67.61,71.36,5.26,157.23256,62.18
NWSA,29.13,30.75,5.27,35.52439,38.89
AMD,172.8204,182.5,5.3,125.23218,75.88
TRMB,81.82,86.42,5.32,13.347471,56.67
JBL,220.2,232.84,5.43,42.022903,49.69
AVGO,290.175,306.95,5.47,106.29121,61.18
MCK,697.2599,737.89,5.51,27.099102,36.54
WM,229.21,242.58,5.51,34.00742,49.85
LIN,460.4,487.49,5.56,33.4593,41.13
NWS,33.41,35.41,5.65,40.743904,31.73
FAST,45.3799,48.1,5.66,44.05816,54.93
IVZ,20.61,21.85,5.68,22.161291,73.46
EMR,141.68,150.27,5.72,40.947975,54.2
BEN,23.91,25.36,5.72,34.652172,34.33
GILD,113.075,119.96,5.74,23.75525,52.21
C,91.29,96.91,5.8,13.48449,59.38
PNW,90.88,96.5,5.82,17.996038,48.61
ORCL,245.6141,260.87,5.85,56.59311,65.14
MCO,500.4825,531.93,5.91,42.558037,47.64
MSFT,522.33,555.45,5.96,38.237923,66.83
PEG,89.54,95.22,5.97,24.464481,80.79
MA,558.64,594.71,6.07,37.644207,55.53
FOXA,55.16,58.74,6.09,13.653465,43.01
NEM,62.44,66.57,6.2,11.311594,54.5
ALL,199.81,213.18,6.27,9.3984,54.15
DGX,170.91,182.38,6.29,20.468264,53.51
KLAC,886.4,945.87,6.29,32.221012,40.36
ATO,156.7,167.45,6.42,21.885475,54.68
LRCX,95.98,102.59,6.44,23.12771,39.56
HLT,261.475,279.46,6.44,40.28891,30.09
DIS,116.62,124.69,6.47,23.8,38.04
RJF,163.01,174.32,6.49,15.997056,56.68
CCL,28.99,31.01,6.51,15.178011,46.53
HIG,123.47,132.09,6.53,11.214351,51.66
CFG,46.71,49.98,6.54,14.240853,45.25
J,139.29,149.0495,6.55,45.819077,57.6
AWK,145.32,155.5,6.55,26.183784,54.45
COR,288.89,309.35,6.61,33.436344,37.58
SYK,379.18,406.19,6.65,50.289124,38.8
WMT,98.265,105.3,6.68,41.99359,71.55
CAH,157.04,168.44,6.77,24.537498,33.64
LYV,146.93,157.75,6.86,49.806778,46.68
WBD,12.915,13.87,6.89,,65.31
MDT,89.5874,96.25,6.92,24.816456,49.21
TRV,258.375,277.83,7.0,11.427465,53.07
MCD,303.48,326.32,7.0,26.761906,52.4
EXC,44.685,48.11,7.12,16.990494,60.31
PWR,394.345,424.94,7.2,61.044117,54.59
DPZ,464.47,500.55,7.21,26.941416,44.98
TJX,125.9382,135.85,7.3,29.632519,59.31
KO,68.925,74.38,7.33,24.44149,46.76
LVS,52.45,56.61,7.35,26.489899,64.64
CMI,359.25,387.9,7.39,17.705765,66.48
HII,271.32,293.14,7.44,20.308384,60.78
BAC,45.585,49.31,7.55,13.368034,38.3
IDXX,535.425,579.47,7.6,49.347923,51.74
MOS,35.29,38.23,7.69,30.422415,44.99
BKNG,5385.44,5839.41,7.77,37.4874,26.33
FFIV,308.01,334.0,7.78,27.137445,63.71
LH,261.255,283.47,7.84,28.772577,61.26
WFC,78.15,84.83,7.87,13.4278345,34.76
EA,154.83,168.5,8.11,38.7075,59.03
FOX,50.495,55.0,8.19,12.498762,42.04
ADP,302.56,329.93,8.3,30.34704,48.76
TT,436.65,476.19,8.3,34.49052,48.77
MNST,59.1,64.45,8.3,38.881577,46.82
CTVA,70.96,77.41,8.33,42.746986,36.55
AME,181.6,198.33,8.44,29.243156,56.04
SYF,67.49,73.76,8.5,8.200486,37.99
GEN,29.01,31.72,8.54,28.165049,35.53
VMC,272.83,298.31,8.54,37.893055,53.61
ADSK,298.185,326.62,8.71,63.851177,54.73
ROP,543.22,595.17,8.73,38.093967,46.15
ED,104.78,114.87,8.78,19.367838,66.35
HSY,189.77,208.03,8.78,25.168436,81.56
WTW,313.85,344.14,8.8,212.0608,54.13
GOOGL,188.59,207.05,8.92,20.105543,63.35
TKO,166.285,182.6,8.93,84.40863,30.58
PNR,100.815,110.71,8.94,27.545082,26.98
BA,220.5139,242.69,9.14,,34.98
GOOG,189.535,208.7,9.18,20.227856,63.42
REG,70.97,78.18,9.22,33.16355,55.21
VZ,42.975,47.36,9.26,9.994185,64.61
MLM,573.89,633.23,9.37,32.944317,55.58
MPC,165.92,183.1,9.38,22.822557,32.88
WRB,69.195,76.38,9.41,15.726136,48.23
CINF,146.35,161.75,9.52,12.681976,45.22
V,339.59,375.51,9.57,33.195503,34.54
VLTO,103.98,115.0,9.58,28.963789,56.83
SBAC,228.41,252.64,9.59,30.212963,44.59
TTWO,221.055,245.08,9.8,,12.27
ABT,127.34,141.23,9.84,15.957393,41.4
ITW,251.535,279.13,9.89,22.083845,40.04
HON,218.59,242.77,9.96,24.896357,23.44
